Price,Close,High,Low,Open,Volume,Return,MA5,MA10,Target
Ticker,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,,,,
Date,,,,,,,,,
2025-12-18,1158.1612548828125,1172.5284225836272,1147.385757314386,1165.3448387332198,402540,-0.006929658393642235,1187.554345703125,1204.8648803710937,1
2025-12-19,1221.816162109375,1226.206184198184,1158.859628109187,1163.8482618935573,1651986,0.05496204173485619,1184.9003662109376,1200.6345092773438,1
2025-12-22,1226.505615234375,1235.584904839291,1213.2357999552353,1222.2153412377988,500071,0.0038381004200369606,1189.27041015625,1201.5125122070312,1
2025-12-23,1227.4034423828125,1234.4873999916824,1214.333245855822,1226.5055857104278,260961,0.0007320204141634257,1200.02587890625,1203.9170288085938,0
2025-12-24,1214.5328369140625,1233.6891420401796,1210.5419298633867,1232.0928035784727,189895,-0.010486043157711622,1209.6838623046874,1205.772802734375,0
2025-12-26,1206.451171875,1233.3897948951683,1202.260768122324,1214.532856215306,283503,-0.00665413465443776,1219.341845703125,1203.448095703125,0
2025-12-29,1185.4989013671875,1214.9318411311056,1179.9116558044652,1206.3514152534085,281890,-0.017366861582346238,1212.0783935546874,1198.4893798828125,0
2025-12-30,1159.0592041015625,1190.687217535657,1157.3631172158762,1180.3108341951565,485220,-0.02230259111597077,1198.589111328125,1193.9297607421875,1
2025-12-31,1169.834716796875,1174.3244875649652,1157.4628796551274,1159.358585004664,289565,0.009296775054441708,1187.0753662109375,1193.5506225585937,0
2026-01-01,1160.5557861328125,1181.3085526670666,1157.3631090319232,1175.3221917582807,284550,-0.007931830480693125,1176.2799560546875,1192.9819091796876,1
2026-01-02,1164.94580078125,1166.3426426759536,1148.1840634232778,1160.555778451963,413208,0.0037826830048952598,1167.9788818359375,1193.6603637695312,0
2026-01-05,1148.383544921875,1171.53075792689,1144.5921343709467,1164.9457854162238,555257,-0.014217190060059282,1160.555810546875,1186.3171020507812,0
2026-01-06,1137.308837890625,1151.5762584841184,1128.4290447449423,1148.3835813452065,345389,-0.00964373538807839,1156.2057373046875,1177.3974243164062,1
2026-01-07,1205.7528076171875,1214.9318452302857,1136.809911821554,1137.2090268901275,2462611,0.060180636469427284,1163.38935546875,1175.2323608398438,0
2026-01-08,1177.616943359375,1239.8749957393009,1167.340309015869,1208.1473578519958,1377247,-0.023334686911005154,1166.8015869140625,1171.540771484375,1
2026-01-09,1179.712158203125,1190.2880376154953,1163.4491631212595,1171.3312289694816,473167,0.0017791989624171833,1169.7548583984376,1168.8668701171875,0
2026-01-12,1169.9344482421875,1178.5148745610627,1151.7758687814787,1167.440131184792,403250,-0.008288216657723058,1174.0650390625,1167.3104248046875,1
2026-01-13,1170.93212890625,1182.805101989977,1158.759910863127,1170.0341504424216,266815,0.0008527662943522696,1180.789697265625,1168.4977172851563,1
2026-01-14,1176.718994140625,1202.9591355004663,1165.1453877975848,1176.5193757080085,683650,0.004942101332363613,1174.9829345703124,1169.1861450195313,0
2026-01-15,1176.718994140625,1176.718994140625,1176.718994140625,1176.718994140625,0,0.0,1174.8033447265625,1170.8024658203126,1
2026-01-16,1184.501220703125,1220.619004318756,1177.3176363846867,1177.3176363846867,734628,0.006613496171346656,1175.7611572265625,1172.7580078125,0
2026-01-19,1160.4560546875,1184.1022536968144,1151.3767648690218,1182.306296680928,527328,-0.020299823753116675,1173.865478515625,1173.9652587890625,0
2026-01-20,1128.7283935546875,1166.242897407819,1117.2545351920676,1166.242897407819,757504,-0.027340683005317667,1165.4247314453125,1173.1072143554688,0
2026-01-21,1112.3656005859375,1127.2317538222371,1086.3249562392052,1127.2317538222371,1063983,-0.014496661076469297,1152.554052734375,1163.7684936523438,0
2026-01-22,1106.678466796875,1138.6057229242172,1102.887178207443,1129.426685504733,497662,-0.005112648023335886,1138.545947265625,1156.6746459960937,1
2026-01-23,1111.966552734375,1120.447230794709,1094.5063331983933,1111.4676893190613,749846,0.004778339957047795,1124.039013671875,1149.9000854492188,0
2026-01-27,1101.8895263671875,1113.7624999053094,1089.8170561818333,1096.0029137599347,919507,-0.009062346652790598,1112.3257080078124,1143.0955932617187,1
2026-01-28,1103.286376953125,1114.8599838185944,1086.624265822138,1107.476780920559,735524,0.0012676865988034969,1107.2373046875,1136.3310180664062,0
2026-01-29,1040.4295654296875,1107.576506618239,1032.6472476002089,1106.4790314866004,2536989,-0.056972344475987424,1092.85009765625,1122.7020751953125,0
2026-01-30,1039.5316162109375,1055.2956271656353,1015.9852263112351,1033.6450035119085,2183053,-0.0008630562304130507,1079.4207275390625,1108.9833374023438,0
2026-02-02,996.230224609375,1009.0011156599373,982.3617975246506,988.7472734981378,1616312,-0.04165471345584926,1056.2734619140624,1090.1562377929688,0
2026-02-03,987.5499877929688,1060.583602718229,984.7563648945362,1059.5858759047594,1343955,-0.00871308318296582,1033.4055541992188,1072.8656311035156,0
2026-02-04,981.4000244140625,986.5,953.7000122070312,976.2000122070312,1305703,-0.006227495777353487,1009.0282836914063,1058.132794189453,0
2026-02-05,959.5,988.0,955.5,981.4000244140625,891033,-0.022315084439841648,992.8423706054688,1042.8462341308593,0
2026-02-06,958.4000244140625,960.5,943.2000122070312,959.5,887854,-0.0011464049879494898,976.6160522460938,1028.0183898925782,1
2026-02-09,964.0,971.2000122070312,955.0,959.0,960204,0.005843046163694687,970.1700073242188,1013.2217346191406,1
2026-02-10,973.5999755859375,993.9000244140625,964.0999755859375,970.0,1028511,0.009958480898275335,967.3800048828125,1000.3927795410157,0
2026-02-11,959.4000244140625,979.7999877929688,956.2000122070312,973.5999755859375,632882,-0.01458499540669067,962.9800048828125,986.0041442871094,0
2026-02-12,891.5,953.0,886.2000122070312,951.7999877929688,3179727,-0.0707734236879255,949.3800048828125,971.1111877441406,0
2026-02-13,861.7000122070312,873.5999755859375,812.9000244140625,870.0,6026791,-0.03342679505661106,930.0400024414063,953.32802734375,1
2026-02-16,880.2999877929688,884.0999755859375,855.0999755859375,860.4000244140625,1230784,0.021585209843850706,913.3,941.7350036621094,0
2026-02-17,879.2999877929688,891.5999755859375,872.0,879.0,1167303,-0.0011359763874438933,894.4400024414062,930.9100036621094,0
2026-02-18,861.5999755859375,883.7999877929688,855.0999755859375,881.2999877929688,987144,-0.020129662746223853,874.8799926757813,918.9299987792969,0
