Close,High,Low,Open,Volume,Return,MA5,MA10,Target
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,
3031.98193359375,3049.5622448251693,3023.0443122614724,3046.6158078736476,2548350,-0.004867488056444769,3051.09443359375,3005.1594970703127,1
3091.499755859375,3098.6694669245953,3028.4460542827223,3041.705020306013,3151053,0.01963000557693939,3054.217626953125,3020.628271484375,0
3088.65185546875,3108.0000778660146,3082.0715272134535,3091.794673762747,2700767,-0.0009212034984726891,3061.898046875,3033.7792236328123,1
3094.34814453125,3113.4016740052466,3079.2229578295533,3088.6516518716926,4177037,0.0018442638824489599,3070.6587890625,3049.37568359375,0
3085.115966796875,3122.1428110333977,3075.0981288018247,3101.616062202543,6703764,-0.002983561416866176,3078.31953125,3060.7685791015624,0
3063.5087890625,3093.562543096727,3059.3838251197944,3089.142887490615,2737920,-0.007003684129517129,3084.62490234375,3067.85966796875,1
3106.428466796875,3121.2589624366606,3061.348076121797,3063.115986297256,2508527,0.014009973755456206,3087.61064453125,3070.9141357421877,0
3080.59814453125,3123.223169867727,3069.205159068128,3123.223169867727,2836233,-0.0083151189675581,3085.99990234375,3073.948974609375,1
3081.48193359375,3091.1070087848907,3069.205113141185,3083.937297684263,1616690,0.00028688878621485614,3083.42666015625,3077.042724609375,0
3077.455078125,3097.687374390369,3066.4550948216056,3081.8747335418534,1747647,-0.0013067918474062301,3081.894482421875,3080.1070068359377,1
3079.714111328125,3087.8659682974553,3064.6872347092776,3075.0980746626374,2512003,0.0007340588719499941,3085.135546875,3084.880224609375,1
3123.22314453125,3154.5534946281955,3082.9551731709416,3083.9373188138757,3952112,0.014127620821389186,3088.494482421875,3088.0525634765627,1
3171.544677734375,3191.9733551637537,3130.4909417024,3136.9731988901626,5025905,0.015471687729945227,3106.6837890625,3096.341845703125,1
3180.384033203125,3213.187842167148,3164.866083794654,3172.330486734928,5244013,0.002787082121467943,3126.464208984375,3104.9454345703125,0
3178.71435546875,3201.6964674714213,3151.3125880977464,3185.0983021118977,2544725,-0.0005249924905117442,3146.716064453125,3114.3052734375,0
3151.01806640625,3175.964471029267,3124.401822284255,3172.330579931189,2734893,-0.008713047466769264,3160.97685546875,3123.056201171875,0
3132.259033203125,3167.41989738469,3121.357359750894,3167.41989738469,1386849,-0.005953324547110506,3162.784033203125,3125.6392578125,1
3134.91064453125,3151.1160479641035,3096.8035846478047,3147.7768486239356,1914362,0.0008465491838371975,3155.4572265625,3131.0705078125,1
3163.0,3165.4553640739014,3128.8212841349605,3140.607031689688,1146554,0.008960177387432378,3151.980419921875,3139.222314453125,1
3172.52685546875,3180.384020730158,3140.2143592438706,3153.7680172761306,1562190,0.003011968216487526,3150.742919921875,3148.7294921875,0
3147.875244140625,3162.509118995985,3134.1252044928165,3162.509118995985,1734623,-0.007770339685424843,3150.11435546875,3155.54560546875,1
3160.348388671875,3179.107227122374,3143.3572206041695,3143.3572206041695,1376350,0.0039624011639174395,3155.7322265625,3159.2581298828127,1
3222.2236328125,3229.09865265339,3163.4912725011322,3170.366292342023,2307422,0.019578614928156046,3173.19482421875,3164.326025390625,1
3223.402099609375,3258.661033366418,3220.259281411304,3240.09857605464,3902511,0.00036573091478642183,3185.275244140625,3168.62783203125,1
3265.5361328125,3269.170263717588,3232.2414895890165,3250.9022578364156,2632816,0.013071292969695225,3203.877099609375,3177.310009765625,0
3250.902099609375,3260.625245626059,3234.6966963938,3260.625245626059,2365420,-0.0044813569986503765,3224.482470703125,3187.2984130859377,1
3259.741455078125,3267.696930860065,3237.2504153109776,3245.107580613968,1367708,0.0027190469592461852,3244.361083984375,3200.0466552734374,0
3221.437744140625,3260.7235702886815,3213.384197736604,3253.9468611908032,1176664,-0.011750536496638153,3244.20390625,3208.699365234375,0
3193.446533203125,3229.294848891858,3184.9999848268185,3221.437683809396,2079473,-0.008689042955559945,3238.21279296875,3211.7440185546875,0
3188.83056640625,3209.160933545371,3181.6608551553877,3191.973384551631,2807593,-0.0014454498451380582,3222.8716796875,3213.3743896484375,0
3148.955322265625,3188.0447669329633,3141.392848747715,3182.151893056932,3362634,-0.012504660661718292,3202.48232421875,3213.4823974609376,1
3169.77685546875,3176.3574233163417,3141.0982497161094,3157.59834501185,1255735,0.006612203436453967,3184.489404296875,3214.425244140625,1
3192.660888671875,3196.196709004467,3162.017991655493,3176.2591039024273,1184324,0.007219446114524963,3178.734033203125,3211.4689697265626,0
3158.6787109375,3189.026915514335,3134.026759287417,3182.642968809425,2341703,-0.010643841898445805,3171.78046875,3204.996630859375,1
3197.669921875,3204.9377039238207,3147.7768738587542,3152.6876022111082,2912325,0.012344152256602126,3173.54833984375,3198.210009765625,1
3236.75927734375,3241.6700055592964,3165.651788913644,3185.0000101265678,1989442,0.012224324718865809,3191.109130859375,3196.7957275390627,0
3146.6962890625,3228.2143763788763,3125.1873956711997,3228.2143763788763,4159336,-0.0278250498613416,3186.493017578125,3185.4912109375,1
3150.52685546875,3172.0357492326657,3134.0267606372377,3134.0267606372377,1938673,0.0012173295591202393,3178.0662109375,3178.4001220703126,1
3181.75927734375,3193.937788002805,3117.6251157476318,3145.8126491306843,2228342,0.009913396491379345,3182.68232421875,3177.231396484375,1
3209.652099609375,3221.437847833155,3153.1787227037635,3187.0627488471305,5645341,0.008766477861553046,3185.078759765625,3179.3135498046877,0
3135.5,3201.7948316366483,3126.1696162881753,3201.7948316366483,3539511,-0.02310284644818661,3164.826904296875,3177.968017578125,0
3135.5,3135.5,3135.5,3135.5,0,0.0,3162.587646484375,3174.54033203125,1
3206.699951171875,3221.89990234375,3171.0,3219.39990234375,4293470,0.022707686548198103,3173.822265625,3175.94423828125,0
3163.60009765625,3220.0,3152.10009765625,3188.0,3387562,-0.013440563249416115,3170.1904296875,3176.436376953125,0
